"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/ThirdPerson/Blueprints/PJ_Mesh/harry_anims/standardSurface1.standardSurface1","0","26","2","1","52.132767","0","82"
"/Game/ThirdPerson/Blueprints/PJ_Mesh/harry_anims/piernas.piernas","0","26","2","1","0.000000","0","82"
"/Game/ThirdPerson/Blueprints/PJ_Mesh/harry_anims/pelo.pelo","0","26","2","1","0.000000","0","82"
"/Game/ThirdPerson/Blueprints/PJ_Mesh/harry_anims/cuerpo.cuerpo","0","26","2","1","0.000000","0","82"
"/Game/ThirdPerson/Blueprints/PJ_Mesh/harry_anims/cabeza.cabeza","0","26","2","1","0.000000","0","82"
"/Game/ThirdPerson/Blueprints/PJ_Mesh/harry_anims/brazos.brazos","0","26","2","1","0.000000","0","82"
"/Game/Mesh_Enemy/Mat.Mat","0","26","2","1","0.000000","0","82"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","36","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","0","4","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","12","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","33","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","0","23","1","0.000000","0","0"
"/Game/Blueprints/BP_Materials/M_Door.M_Door","0","0","20","1","0.000000","0","0"
"/Game/Fbx_Default_Material.Fbx_Default_Material","0","0","14","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Game/ThirdPerson/Blueprints/PJ_Mesh/standardSurface1.standardSurface1","0","26","2","1","20.557995","0","61"
"/Game/ThirdPerson/Blueprints/PJ_Mesh/piernas.piernas","0","26","26","1","0.000000","0","28"
"/Game/ThirdPerson/Blueprints/PJ_Mesh/pelo.pelo","0","26","26","1","0.000000","0","28"
"/Game/ThirdPerson/Blueprints/PJ_Mesh/cuerpo.cuerpo","0","26","26","1","0.000000","0","28"
"/Game/ThirdPerson/Blueprints/PJ_Mesh/cabeza.cabeza","0","26","26","1","0.000000","0","28"
"/Game/objetos/map/Tex_0033_0_dds.Tex_0033_0_dds","0","14","14","1","11.433554","0","14"
"/Game/objetos/map/Tex_0017_0_dds.Tex_0017_0_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/Tex_0016_0_dds.Tex_0016_0_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/Tex_0014_0_dds.Tex_0014_0_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/Tex_0013_0_dds.Tex_0013_0_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/Tex_0012_0_dds.Tex_0012_0_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/Tex_0011_0_dds.Tex_0011_0_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/Tex_0010_0_dds_ncl1_1.Tex_0010_0_dds_ncl1_1","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/Tex_0010_0_dds.Tex_0010_0_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/Tex_0009_1_dds.Tex_0009_1_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/Tex_0008_1_dds.Tex_0008_1_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/Tex_0007_0_dds.Tex_0007_0_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/Tex_0006_1_dds.Tex_0006_1_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/Tex_0006_1_dds.Tex_0006_1_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/Tex_0005_1_dds.Tex_0005_1_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__11_ncl1_15.pk_gryffindorcommonroom_atlas_02_unlit_mat__11_ncl1_15","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__11_ncl1_14.pk_gryffindorcommonroom_atlas_02_unlit_mat__11_ncl1_14","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__11_ncl1_13.pk_gryffindorcommonroom_atlas_02_unlit_mat__11_ncl1_13","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__11_ncl1_12.pk_gryffindorcommonroom_atlas_02_unlit_mat__11_ncl1_12","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__11_ncl1_11.pk_gryffindorcommonroom_atlas_02_unlit_mat__11_ncl1_11","0","14","14","1","0.000000","0","14"
"/Game/objetos/material_3.material_3","0","14","14","1","0.000000","0","14"
"/Game/objetos/material_5.material_5","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__11_ncl1_10.pk_gryffindorcommonroom_atlas_02_unlit_mat__11_ncl1_10","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__11_ncl1_1.pk_gryffindorcommonroom_atlas_02_unlit_mat__11_ncl1_1","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__11.pk_gryffindorcommonroom_atlas_02_unlit_mat__11","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_9.pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_9","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_8.pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_8","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_7.pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_7","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_6.pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_6","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_5.pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_5","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_4.pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_4","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_3.pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_3","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_2.pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_2","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_15.pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_15","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_14.pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_14","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_13.pk_gryffindorcommonroom_atlas_02_unlit_mat__5_ncl1_13","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/Tex_0010_0_dds.Tex_0010_0_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/Tex_0009_1_dds.Tex_0009_1_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/Tex_0008_1_dds.Tex_0008_1_dds","0","14","14","1","0.000000","0","14"
"/Game/objetos/map/grifindor/Tex_0007_0_dds.Tex_0007_0_dds","0","14","14","1","0.000000","0","14"
